flow_packet_count,flow_byte_count,rx_packets,tx_packets,rx_bytes,tx_bytes,label
867,1250214,0,0,0,0,0
920,1258641,53,0,8427,0,0
867,1250214,1,15,42,2286,0
868,1251656,0,0,0,0,0
888,1135594,106,0,7950,0,0
868,1251656,0,19,0,1425,0
876,1250799,9,0,585,0,0
685,987770,1,1,42,60,0
774,1116108,0,0,0,0,0
759,1094478,0,0,0,0,0
868,1251656,0,0,0,0,0
851,1227142,0,0,0,0,0
867,1250214,0,0,0,0,0
867,1250214,0,0,0,0,0
837,1206954,0,0,0,0,0
998,1251250,142,0,16898,0,0
847,1221374,1,32,42,3749,0
848,1222816,0,0,0,0,0
862,1243004,0,0,0,0,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
868,1251656,0,0,0,0,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
868,1250287,36,0,2628,0,0
903,1254211,1,1,42,60,0
868,1251656,0,1,0,73,0
868,1251656,0,0,0,0,0
867,1250214,0,0,0,0,0
853,1230026,0,0,0,0,0
867,1250214,0,0,0,0,0
781,1126202,0,0,0,0,0
868,1251656,0,0,0,0,0
789,1137738,0,0,0,0,0
986,1260210,119,0,9996,0,0
868,1251656,1,1,42,60,0
867,1250214,0,0,0,0,0
867,1250214,0,0,0,0,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
863,1244446,0,0,0,0,0
914,1317988,0,0,0,0,0
816,1132815,33,0,3729,0,0
803,1157926,1,25,42,2772,0
816,1132982,34,0,5338,0,0
867,1250214,0,11,0,1727,0
867,1250214,0,0,0,0,0
867,1250214,0,0,0,0,0
867,1250214,0,0,0,0,0
868,1251656,0,0,0,0,0
868,1251656,0,0,0,0,0
782,1127644,0,0,0,0,0
867,1250214,0,0,0,0,0
867,1250214,0,0,0,0,0
1078,1273213,211,0,22999,0,0
867,1250214,1,1,42,60,0
868,1251656,0,0,0,0,0
866,1248772,0,0,0,0,0
868,1251656,0,0,0,0,0
867,1250214,0,0,0,0,0
869,1253098,0,0,0,0,0
867,1250214,0,0,0,0,0
869,1251774,43,0,5074,0,0
929,1257530,21,1,2402,60,0
868,1251656,0,0,0,0,0
849,1224258,0,0,0,0,0
867,1250214,0,0,0,0,0
783,1129086,0,0,0,0,0
868,1251656,0,0,0,0,0
867,1250214,0,0,0,0,0
855,1113054,88,0,7040,0,0
820,1182440,0,0,0,0,0
867,1250214,0,0,0,0,0
867,1250214,0,0,0,0,0
866,1248772,0,0,0,0,0
868,1251656,0,0,0,0,0
793,1143506,0,0,0,0,0
845,1218490,0,0,0,0,0
869,1253098,0,0,0,0,0
724,1044008,0,0,0,0,0
782,1127644,0,0,0,0,0
718,1035356,0,0,0,0,0
1014,1149403,235,0,26085,0,0
867,1250214,1,125,42,13824,0
887,1255798,18,0,2700,0,0
867,1250214,0,0,0,0,0
867,1250214,0,0,0,0,0
